St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  756 2019]
40,50,20,Mode,40,[   0  661 2019]
40,50,20,Median,40,[   0  661 1039 1777 2019]
40,50,20,Mode,40,[   0  661 2019]
40,50,20,Median,40,[   0   75  756 1815 2019]
40,50,20,Mode,40,[   0   75  661 1507 1777 2019]
40,50,20,Median,40,[   0   75  661  975 1461 2019]
40,50,20,Mode,40,[   0   75  661  975 1507 1777 2019]
40,50,20,Median,40,[   0 1172 1507 2019]
40,50,20,Mode,40,[   0 1164 1507 2019]
40,50,20,Median,40,[   0   75  495  661 1172 1507 2019]
40,50,20,Mode,40,[   0   75  495  661  975 1164 1507 1777 2019]
40,50,20,Median,40,[   0   75  495  661  756 1172 1507 2019]
40,50,20,Mode,40,[   0   75  495  661  756 1164 1507 1777 2019]
40,50,20,Median,40,[   0   75  495  661  756 1172 1507 1777 1867 2019]
40,50,20,Mode,40,[   0   75  495  661  756 1164 1507 1777 1867 2019]
40,50,20,Median,40,[   0   75  495  661  756 1172 1507 1777 1867 2019]
40,50,20,Mode,40,[   0   75  495  661  756 1164 1507 1777 1867 2019]
