St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  600 1434 2019]
40,50,20,Mode,40,[   0  600 1190 2019]
40,50,20,Median,40,[   0  600 1190 2019]
40,50,20,Mode,40,[   0  600 1190 2019]
40,50,20,Median,40,[   0   49  612 1190 1648 2019]
40,50,20,Mode,40,[   0   49  600 1190 2019]
40,50,20,Median,40,[   0   49  612 1190 1549 1901 2019]
40,50,20,Mode,40,[   0   49  600 1190 1433 1901 2019]
40,50,20,Median,40,[   0   49  612 1190 1433 1600 1901 2019]
40,50,20,Mode,40,[   0   49  600 1190 1648 1901 2019]
40,50,20,Median,40,[   0   49  600 1190 1433 1600 1901 2019]
40,50,20,Mode,40,[   0   49  600 1190 1648 1901 2019]
40,50,20,Median,40,[   0   49  600  754 1013 1190 1433 1600 1901 2019]
40,50,20,Mode,40,[   0   49  600  754 1013 1190 1433 1648 1901 2019]
40,50,20,Median,40,[   0  754 1190 1433 1595 1648 1901 2019]
40,50,20,Mode,40,[   0  754 1190 1433 1595 1648 1901 2019]
40,50,20,Median,40,[   0  754 1190 1322 1595 1648 1901 2019]
40,50,20,Mode,40,[   0  754 1190 1322 1595 1648 1901 2019]
