St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1567 2019]
40,50,20,Mode,40,[   0 1560 2019]
40,50,20,Median,40,[   0  143  911 1615 2019]
40,50,20,Mode,40,[   0   76  911 1560 2019]
40,50,20,Median,40,[   0 1560 1780 2019]
40,50,20,Mode,40,[   0   76 1560 1770 2019]
40,50,20,Median,40,[   0  804 1082 1560 1780 2019]
40,50,20,Mode,40,[   0   76  911 1082 1560 1770 2019]
40,50,20,Median,40,[   0  804 1082 1334 1567 1780 2019]
40,50,20,Mode,40,[   0   76  911 1082 1399 1560 1770 2019]
40,50,20,Median,40,[   0  804 1082 1334 1567 1770 1970 2019]
40,50,20,Mode,40,[   0   76  911 1082 1399 1560 1770 2019]
40,50,20,Median,40,[   0  803  911 1082 1334 1567 1770 1970 2019]
40,50,20,Mode,40,[   0   76  803  911 1082 1399 1560 1770 2019]
40,50,20,Median,40,[   0   76  288  803  911 1082 1334 1567 1770 1970 2019]
40,50,20,Mode,40,[   0   76  288  803  911 1082 1399 1560 1770 2019]
40,50,20,Median,40,[   0   76  288  803  911 1082 1271 1399 1567 1770 1970 2019]
40,50,20,Mode,40,[   0   76  288  803  911 1082 1271 1399 1560 1770 2019]
