St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  316 1304 2019]
40,50,20,Mode,40,[   0  732 1226 2019]
40,50,20,Median,40,[   0  316 1226 2019]
40,50,20,Mode,40,[   0  732 1226 2019]
40,50,20,Median,40,[   0  732 1226 2019]
40,50,20,Mode,40,[   0  316  732 1226 2019]
40,50,20,Median,40,[   0  732 1163 2019]
40,50,20,Mode,40,[   0  316  732 1226 2019]
40,50,20,Median,40,[   0  732 1069 1226 1786 2019]
40,50,20,Mode,40,[   0  316  732 1112 1226 2019]
40,50,20,Median,40,[   0  732 1069 1226 1370 1559 1786 2019]
40,50,20,Mode,40,[   0  316  732 1112 1226 2019]
40,50,20,Median,40,[   0  177  316  732 1069 1226 1786 2019]
40,50,20,Mode,40,[   0  316  732 1112 1226 2019]
40,50,20,Median,40,[   0  177  316  732 1069 1226 1786 2019]
40,50,20,Mode,40,[   0  316  732 1112 1226 2019]
40,50,20,Median,40,[   0  177  316  552  732 1069 1226 1786 2019]
40,50,20,Mode,40,[   0  552  732 1112 1226 2019]
