St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  528 1196 2019]
40,50,20,Mode,40,[   0  374 1196 2019]
40,50,20,Median,40,[   0  439 1142 1603 2019]
40,50,20,Mode,40,[   0  374 1196 1603 2019]
40,50,20,Median,40,[   0   87  558 1142 1603 2019]
40,50,20,Mode,40,[   0   87  374 1196 1603 2019]
40,50,20,Median,40,[   0   87  445 1142 1603 2019]
40,50,20,Mode,40,[   0   87  374 1196 1603 2019]
40,50,20,Median,40,[   0   87  445 1142 1603 1927 2019]
40,50,20,Mode,40,[   0   87  374 1196 1603 1927 2019]
40,50,20,Median,40,[   0   87  445  718 1020 1603 1927 2019]
40,50,20,Mode,40,[   0   87  667 1020 1196 1603 1927 2019]
40,50,20,Median,40,[   0  402  529 1020 1603 1927 2019]
40,50,20,Mode,40,[   0   87  529 1020 1196 1603 1927 2019]
40,50,20,Median,40,[   0   87  568 1020 1142 1196 1603 1927 2019]
40,50,20,Mode,40,[   0   87  667 1020 1142 1196 1603 1927 2019]
40,50,20,Median,40,[   0  402  529 1020 1142 1196 1603 1927 2019]
40,50,20,Mode,40,[   0   87  529  667  809 1020 1142 1196 1603 1927 2019]
