St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1794 2019]
40,50,20,Mode,40,[   0 1794 2019]
40,50,20,Median,40,[   0  245 1794 2019]
40,50,20,Mode,40,[   0  140 1794 2019]
40,50,20,Median,40,[   0  245  874 1451 1794 2019]
40,50,20,Mode,40,[   0  140 1794 2019]
40,50,20,Median,40,[   0  245  763  939 1451 1794 2019]
40,50,20,Mode,40,[   0  140  828  902 1794 2019]
40,50,20,Median,40,[   0  245  671 1341 1506 1794 2019]
40,50,20,Mode,40,[   0  140 1267 1506 1794 2019]
40,50,20,Median,40,[   0  245  671 1341 1506 1794 2019]
40,50,20,Mode,40,[   0  140  828  985 1267 1506 1794 2019]
40,50,20,Median,40,[   0  245  661  846  985 1341 1506 1794 2019]
40,50,20,Mode,40,[   0  140  828  939 1267 1506 1794 2019]
40,50,20,Median,40,[   0  245  661  846  985 1267 1506 1659 1794 2019]
40,50,20,Mode,40,[   0  140  828  939 1267 1506 1654 1794 2019]
40,50,20,Median,40,[   0  245  661  846  985 1267 1506 1659 1794 2019]
40,50,20,Mode,40,[   0  245  828  939 1267 1506 1654 1794 2019]
