St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  316 1797 2019]
40,50,20,Mode,40,[   0 1975 2019]
40,50,20,Median,40,[   0  233  670 2019]
40,50,20,Mode,40,[   0  252  670 1975 2019]
40,50,20,Median,40,[   0  233  670 1975 2019]
40,50,20,Mode,40,[   0  252  670 1975 2019]
40,50,20,Median,40,[   0  233  670 1670 1975 2019]
40,50,20,Mode,40,[   0  252  670 1975 2019]
40,50,20,Median,40,[   0  233  670 1670 1975 2019]
40,50,20,Mode,40,[   0  252  670 1975 2019]
40,50,20,Median,40,[   0  107  252  670 1670 1975 2019]
40,50,20,Mode,40,[   0  163  252  670 1975 2019]
40,50,20,Median,40,[   0  107  252  670 1172 1357 1670 1975 2019]
40,50,20,Mode,40,[   0  163  252  670 1191 1975 2019]
40,50,20,Median,40,[   0  107  252  393  670 1172 1357 1670 1975 2019]
40,50,20,Mode,40,[   0  163  252  374  670 1191 1975 2019]
40,50,20,Median,40,[   0  107  252  393  670 1172 1357 1670 1869 1975 2019]
40,50,20,Mode,40,[   0  163  252  374  670 1191 1975 2019]
