St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  688 1812 2019]
40,50,20,Mode,40,[   0  481 1880 2019]
40,50,20,Median,40,[   0  531 1006 1846 2019]
40,50,20,Mode,40,[   0  481 1006 1880 2019]
40,50,20,Median,40,[   0  150  584 1006 1846 2019]
40,50,20,Mode,40,[   0   43  481 1006 1880 2019]
40,50,20,Median,40,[   0  150  584 1000 1203 1880 2019]
40,50,20,Mode,40,[   0   43  481 1006 1185 1880 2019]
40,50,20,Median,40,[   0  150  584 1000 1203 1917 2019]
40,50,20,Mode,40,[   0   43  481 1006 1185 1757 1880 2019]
40,50,20,Median,40,[   0  150  629 1000 1203 1917 2019]
40,50,20,Mode,40,[   0   43  625 1006 1185 1757 1880 2019]
40,50,20,Median,40,[   0  150  629 1000 1185 1340 1757 1917 2019]
40,50,20,Mode,40,[   0   43  625 1006 1185 1757 1880 2019]
40,50,20,Median,40,[   0  150  629  899 1006 1185 1340 1757 1917 2019]
40,50,20,Mode,40,[   0   43  625 1006 1185 1757 1880 2019]
40,50,20,Median,40,[   0  150  629  899 1006 1185 1333 1757 1917 2019]
40,50,20,Mode,40,[   0   43  625 1006 1185 1757 1880 2019]
