St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  667 1025 2019]
40,50,20,Mode,40,[   0  667 1025 2019]
40,50,20,Median,40,[   0 1025 1507 2019]
40,50,20,Mode,40,[   0 1025 1451 2019]
40,50,20,Median,40,[   0 1025 1163 2019]
40,50,20,Mode,40,[   0 1025 1163 2019]
40,50,20,Median,40,[   0 1025 1163 2019]
40,50,20,Mode,40,[   0 1025 1163 2019]
40,50,20,Median,40,[   0 1025 1163 2019]
40,50,20,Mode,40,[   0 1025 1163 2019]
40,50,20,Median,40,[   0  984 1026 2019]
40,50,20,Mode,40,[   0  984 1025 1163 2019]
40,50,20,Median,40,[   0  984 1026 2019]
40,50,20,Mode,40,[   0  984 1025 1163 2019]
40,50,20,Median,40,[   0  984 1026 2019]
40,50,20,Mode,40,[   0  984 1025 1163 2019]
40,50,20,Median,40,[   0  984 1026 2019]
40,50,20,Mode,40,[   0  984 1025 1163 2019]
