St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  519 1359 2019]
40,50,20,Mode,40,[   0  473 1892 2019]
40,50,20,Median,40,[   0  519 1144 1836 2019]
40,50,20,Mode,40,[   0  473 1145 1892 2019]
40,50,20,Median,40,[   0  581 1144 1836 2019]
40,50,20,Mode,40,[   0  473 1145 1892 2019]
40,50,20,Median,40,[   0  581 1359 1892 2019]
40,50,20,Mode,40,[   0  473 1359 1892 2019]
40,50,20,Median,40,[   0  753 1144 1359 1892 2019]
40,50,20,Mode,40,[   0  753 1145 1359 1892 2019]
40,50,20,Median,40,[   0  753 1144 1327 1527 1892 2019]
40,50,20,Mode,40,[   0  753 1145 1527 1892 2019]
40,50,20,Median,40,[   0  118  277  753 1144 1327 1527 1892 2019]
40,50,20,Mode,40,[   0   64  753 1145 1527 1892 2019]
40,50,20,Median,40,[   0  118  277  671  822 1144 1327 1527 1892 2019]
40,50,20,Mode,40,[   0   64  753 1145 1527 1892 2019]
40,50,20,Median,40,[   0  118  277  671  822 1144 1327 1527 1733 1892 2019]
40,50,20,Mode,40,[   0   64  753 1145 1733 1892 2019]
