St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  801 1688 2019]
40,50,20,Mode,40,[   0  580 1977 2019]
40,50,20,Median,40,[   0  619 1246 1968 2019]
40,50,20,Mode,40,[   0  580 1461 1977 2019]
40,50,20,Median,40,[   0  124  762 1278 1968 2019]
40,50,20,Mode,40,[   0  106  580 1461 1977 2019]
40,50,20,Median,40,[   0  106  627 1092 1418 1968 2019]
40,50,20,Mode,40,[   0  106  580 1461 1977 2019]
40,50,20,Median,40,[   0  106  962 1199 1461 1968 2019]
40,50,20,Mode,40,[   0  106  805 1278 1461 1977 2019]
40,50,20,Median,40,[   0  106  962 1199 1461 1779 1977 2019]
40,50,20,Mode,40,[   0  106  805 1278 1461 1779 1977 2019]
40,50,20,Median,40,[   0  106  619  805  990 1229 1461 1779 1977 2019]
40,50,20,Mode,40,[   0  106  580  990 1278 1461 1779 1977 2019]
40,50,20,Median,40,[   0  106  619  805  990 1150 1278 1461 1779 1977 2019]
40,50,20,Mode,40,[   0  106  580  990 1136 1278 1461 1779 1977 2019]
40,50,20,Median,40,[   0  106  619  805  990 1150 1278 1461 1688 1836 1977 2019]
40,50,20,Mode,40,[   0  106  580  990 1136 1278 1461 1688 1779 1977 2019]
