St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  248 1454 2019]
40,50,20,Mode,40,[   0  248 1454 2019]
40,50,20,Median,40,[   0  248 1099 1559 2019]
40,50,20,Mode,40,[   0  248 1020 2019]
40,50,20,Median,40,[   0  248 1099 1559 2019]
40,50,20,Mode,40,[   0  810 1020 2019]
40,50,20,Median,40,[   0  248 1029 1454 1656 2019]
40,50,20,Mode,40,[   0  810 1020 1656 2019]
40,50,20,Median,40,[   0  248 1029 1216 1454 2019]
40,50,20,Mode,40,[   0  810 1020 1270 1454 1656 2019]
40,50,20,Median,40,[   0  248 1029 1216 1454 1656 2019]
40,50,20,Mode,40,[   0  810 1020 1270 1454 1656 2019]
40,50,20,Median,40,[   0  248  639  810 1029 1216 1454 1656 2019]
40,50,20,Mode,40,[   0  248  648  810 1020 1270 1454 1656 2019]
40,50,20,Median,40,[   0  248  639  810 1029 1216 1454 1559 2019]
40,50,20,Mode,40,[   0  248  648  810 1020 1270 1454 1559 2019]
40,50,20,Median,40,[   0  248  639  810 1024 1270 1454 1559 2019]
40,50,20,Mode,40,[   0  248  648  810 1020 1270 1454 1559 2019]
