St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  464 2019]
40,50,20,Mode,40,[   0  635 2019]
40,50,20,Median,40,[   0  449 2019]
40,50,20,Mode,40,[   0  635 2019]
40,50,20,Median,40,[   0  275  594 1100 2019]
40,50,20,Mode,40,[   0  278  635 2019]
40,50,20,Median,40,[   0  158  593  929 1180 2019]
40,50,20,Mode,40,[   0  278  635 2019]
40,50,20,Median,40,[   0  275  593  929 1138 1967 2019]
40,50,20,Mode,40,[   0  278  635 1967 2019]
40,50,20,Median,40,[   0   59  357  635 1967 2019]
40,50,20,Mode,40,[   0   59  464  635 1138 1403 1967 2019]
40,50,20,Median,40,[   0   59  357  635 2019]
40,50,20,Mode,40,[   0   59  464  635  929 1138 1403 1624 1967 2019]
40,50,20,Median,40,[   0   59  357  635  810  929 2019]
40,50,20,Mode,40,[   0   59  464  635  810  929 1138 1403 1624 1967 2019]
40,50,20,Median,40,[   0   59  296  464  635  810  929 1138 2019]
40,50,20,Mode,40,[   0   59  278  464  635  810  929 1138 1403 1624 1967 2019]
