St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  576 1298 2019]
40,50,20,Mode,40,[   0   66 1082 2019]
40,50,20,Median,40,[   0   88  677 1298 2019]
40,50,20,Mode,40,[   0   66  677 2019]
40,50,20,Median,40,[   0   88  677 1206 1585 2019]
40,50,20,Mode,40,[   0   66  677 1585 2019]
40,50,20,Median,40,[   0   88  677 1322 1585 2019]
40,50,20,Mode,40,[   0   66 1082 1297 1585 2019]
40,50,20,Median,40,[   0   66 1082 1297 1585 2019]
40,50,20,Mode,40,[   0 1082 1206 1585 2019]
40,50,20,Median,40,[   0   66 1082 1297 1585 2019]
40,50,20,Mode,40,[   0   66 1082 1206 1585 1777 2019]
40,50,20,Median,40,[   0   66  659 1322 1585 2019]
40,50,20,Mode,40,[   0   66  677  812 1082 1297 1585 1777 2019]
40,50,20,Median,40,[   0   66  659  812 1082 1206 1322 1585 2019]
40,50,20,Mode,40,[   0   66  677  812 1082 1206 1297 1585 1777 2019]
40,50,20,Median,40,[   0   66  161 1082 1206 1322 1585 2019]
40,50,20,Mode,40,[   0   66  161  409  677  812 1082 1206 1297 1585 1777 2019]
