St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  509 2019]
40,50,20,Mode,40,[   0  464 2019]
40,50,20,Median,40,[   0  464 1207 1855 2019]
40,50,20,Mode,40,[   0  464 1855 2019]
40,50,20,Median,40,[   0  429 1855 2019]
40,50,20,Mode,40,[   0  464  967 1214 1855 2019]
40,50,20,Median,40,[   0  155  500 1855 2019]
40,50,20,Mode,40,[   0  155  464  967 1214 1855 2019]
40,50,20,Median,40,[   0  155  500 1214 1855 2019]
40,50,20,Mode,40,[   0  155  464  967 1214 1855 2019]
40,50,20,Median,40,[   0  155  464  722  967 1214 1855 2019]
40,50,20,Mode,40,[   0  155  604 1388 1855 2019]
40,50,20,Median,40,[   0  155  382  533  766 1024 1214 1855 2019]
40,50,20,Mode,40,[   0  155  604  722  967 1214 1855 2019]
40,50,20,Median,40,[   0  155  382  533  766 1024 1214 1855 1952 2019]
40,50,20,Mode,40,[   0  155  604  722  967 1214 1952 2019]
40,50,20,Median,40,[   0  174  382  533  766 1024 1214 1855 1952 2019]
40,50,20,Mode,40,[   0   62  155  604  722  967 1214 1952 2019]
