St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  674 1266 2019]
40,50,20,Mode,40,[   0  864 1057 2019]
40,50,20,Median,40,[   0  262 1057 1540 2019]
40,50,20,Mode,40,[   0  469 1425 2019]
40,50,20,Median,40,[   0 1102 1540 2019]
40,50,20,Mode,40,[   0  469 1425 2019]
40,50,20,Median,40,[   0 1102 1425 1705 2019]
40,50,20,Mode,40,[   0  469 1425 1752 2019]
40,50,20,Median,40,[   0  469  817 1102 1425 1705 2019]
40,50,20,Mode,40,[   0  136  469 1057 1425 1752 2019]
40,50,20,Median,40,[   0  469  817 1102 1396 2019]
40,50,20,Mode,40,[   0  136  469 1057 1425 1752 2019]
40,50,20,Median,40,[   0  469  817 1102 1266 1425 2019]
40,50,20,Mode,40,[   0  136  469 1057 1425 1752 2019]
40,50,20,Median,40,[   0  469 1102 1266 1425 2019]
40,50,20,Mode,40,[   0  136  469 1057 1425 1752 2019]
40,50,20,Median,40,[   0   97  232  469 1266 2019]
40,50,20,Mode,40,[   0  136  226  469 1425 1752 2019]
