St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  900 1530 2019]
40,50,20,Mode,40,[   0  900 1468 2019]
40,50,20,Median,40,[   0  404 2019]
40,50,20,Mode,40,[   0  404  900 1468 2019]
40,50,20,Median,40,[   0  404  900 1468 1702 2019]
40,50,20,Mode,40,[   0  404  900 1468 1636 2019]
40,50,20,Median,40,[   0  404  900 1263 1530 1806 2019]
40,50,20,Mode,40,[   0  900 1263 1468 1735 2019]
40,50,20,Median,40,[   0  900 1263 1494 1886 2019]
40,50,20,Mode,40,[   0  900 1263 1468 1886 2019]
40,50,20,Median,40,[   0  900 1263 1494 1886 2019]
40,50,20,Mode,40,[   0  900 1263 1468 1886 2019]
40,50,20,Median,40,[   0  900 1263 1494 1636 1735 1886 2019]
40,50,20,Mode,40,[   0  900 1263 1468 1636 1735 1886 2019]
40,50,20,Median,40,[   0  900  955 1263 1494 1636 1735 1886 2019]
40,50,20,Mode,40,[   0  900  955 1263 1468 1735 2019]
40,50,20,Median,40,[   0  900  955 1263 1468 1530 1636 1735 2019]
40,50,20,Mode,40,[   0  900  955 1263 1468 1530 1636 1735 2019]
