St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  799 1451 2019]
40,50,20,Mode,40,[   0  915 1451 2019]
40,50,20,Median,40,[   0  464  915 2019]
40,50,20,Mode,40,[   0  464 1138 1451 2019]
40,50,20,Median,40,[   0  464 1451 1896 2019]
40,50,20,Mode,40,[   0  464 1138 1451 2019]
40,50,20,Median,40,[   0  887 1138 1451 1896 2019]
40,50,20,Mode,40,[   0  464  915 1138 1451 2019]
40,50,20,Median,40,[   0  464  887 1138 1451 1896 2019]
40,50,20,Mode,40,[   0  464  915 1138 1451 2019]
40,50,20,Median,40,[   0  464  720  915 1138 1451 1896 2019]
40,50,20,Mode,40,[   0  464  915 1138 1451 2019]
40,50,20,Median,40,[   0  464  739  915 1138 1451 1955 2019]
40,50,20,Mode,40,[   0  464  915 1138 1451 1620 2019]
40,50,20,Median,40,[   0  464  720  915 1138 1451 1620 1790 1955 2019]
40,50,20,Mode,40,[   0  464  915 1138 1451 1620 1790 2019]
40,50,20,Median,40,[   0  464  720  915 1138 1451 1505 1790 1955 2019]
40,50,20,Mode,40,[   0  464  915 1138 1451 1505 2019]
