St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1554 2019]
40,50,20,Mode,40,[   0 1554 2019]
40,50,20,Median,40,[   0  174 1554 2019]
40,50,20,Mode,40,[   0  216  423 1554 2019]
40,50,20,Median,40,[   0  132  533  976 1554 2019]
40,50,20,Mode,40,[   0  216  423  976 1554 2019]
40,50,20,Median,40,[   0  132  533  976 1500 2019]
40,50,20,Mode,40,[   0  216  423  976 1554 1723 2019]
40,50,20,Median,40,[   0  132  423  572  976 1500 2019]
40,50,20,Mode,40,[   0  216  423  572  976 1554 1723 2019]
40,50,20,Median,40,[   0  132  423  572  968 1365 1554 2019]
40,50,20,Mode,40,[   0  216  423  572  976 1365 1554 1723 2019]
40,50,20,Median,40,[   0  132  423  572  968 1365 1541 1743 2019]
40,50,20,Mode,40,[   0  216  423  572  976 1365 1554 1723 2019]
40,50,20,Median,40,[   0  216  423  572  968 1365 1554 1752 2019]
40,50,20,Mode,40,[   0  216  423  572  976 1365 1554 1723 2019]
40,50,20,Median,40,[   0  216  423  572  704  968 1365 1554 1752 2019]
40,50,20,Mode,40,[   0  216  423  572  704  976 1365 1554 1723 2019]
