St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1772 2019]
40,50,20,Mode,40,[   0 1826 2019]
40,50,20,Median,40,[   0  165 1812 2019]
40,50,20,Mode,40,[   0  143  801 1826 2019]
40,50,20,Median,40,[   0  165  801 1377 1826 2019]
40,50,20,Mode,40,[   0  143  801 1263 1826 2019]
40,50,20,Median,40,[   0  143  582 1533 1826 2019]
40,50,20,Mode,40,[   0  143  438 1622 1826 2019]
40,50,20,Median,40,[   0  143  582 1622 1826 2019]
40,50,20,Mode,40,[   0  143  438  801 1263 1622 1826 2019]
40,50,20,Median,40,[   0  143  582 1622 1826 2019]
40,50,20,Mode,40,[   0  143  438  801 1103 1622 1826 2019]
40,50,20,Median,40,[   0  143  438 1622 1826 2019]
40,50,20,Mode,40,[   0  143  438  801 1103 1622 1826 2019]
40,50,20,Median,40,[   0  143  603 1263 1503 1622 1826 2019]
40,50,20,Mode,40,[   0  143  438  801 1103 1533 1622 1826 2019]
40,50,20,Median,40,[   0  143  603 1263 1503 1622 1749 1826 2019]
40,50,20,Mode,40,[   0  143  438  801 1103 1533 1622 1737 1826 2019]
