St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1542 2019]
40,50,20,Mode,40,[   0  881 1462 2019]
40,50,20,Median,40,[   0  881 1631 2019]
40,50,20,Mode,40,[   0  371  881 1462 2019]
40,50,20,Median,40,[   0 1153 1631 2019]
40,50,20,Mode,40,[   0 1153 1462 2019]
40,50,20,Median,40,[   0 1153 1542 1919 2019]
40,50,20,Mode,40,[   0  371  881 1153 1462 1919 2019]
40,50,20,Median,40,[   0 1153 1542 1919 2019]
40,50,20,Mode,40,[   0  371  881 1153 1462 1919 2019]
40,50,20,Median,40,[   0  371 1153 1520 1669 1924 2019]
40,50,20,Mode,40,[   0  371  881 1153 1462 1919 2019]
40,50,20,Median,40,[   0  371  756  930 1153 1520 1669 1924 2019]
40,50,20,Mode,40,[   0  371  826  881 1153 1462 1919 2019]
40,50,20,Median,40,[   0  371  881 1153 1520 1669 1924 2019]
40,50,20,Mode,40,[   0  371  791 1153 1462 1919 2019]
40,50,20,Median,40,[   0  371 1153 1520 1669 1924 2019]
40,50,20,Mode,40,[   0  371  881  930 1153 1462 1919 2019]
