St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  173 1346 2019]
40,50,20,Mode,40,[   0   74 2019]
40,50,20,Median,40,[   0   74 2019]
40,50,20,Mode,40,[   0   74 1769 2019]
40,50,20,Median,40,[   0   74 1769 2019]
40,50,20,Mode,40,[   0   74 1769 2019]
40,50,20,Median,40,[   0   74 1073 1410 1769 2019]
40,50,20,Mode,40,[   0   74 1073 1512 2019]
40,50,20,Median,40,[   0   74  527  767 1410 2019]
40,50,20,Mode,40,[   0   74  527  767 1512 2019]
40,50,20,Median,40,[   0   74  527  767 1410 1951 2019]
40,50,20,Mode,40,[   0   74  527  767 1512 1951 2019]
40,50,20,Median,40,[   0   74  527  767 1474 1951 2019]
40,50,20,Mode,40,[   0   74  527  767 1073 1162 1512 1951 2019]
40,50,20,Median,40,[   0   74  527  767 1162 1336 1951 2019]
40,50,20,Mode,40,[   0   74  527  767 1073 1162 1263 1512 1951 2019]
40,50,20,Median,40,[   0   74  381  767 1162 1336 1951 2019]
40,50,20,Mode,40,[   0   74  381  767 1073 1162 1263 1512 1951 2019]
