St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  364 1226 2019]
40,50,20,Mode,40,[   0 1493 2019]
40,50,20,Median,40,[   0  996 1493 2019]
40,50,20,Mode,40,[   0  513  869 1493 2019]
40,50,20,Median,40,[   0  109  512  996 1493 2019]
40,50,20,Mode,40,[   0  176  513  869 1493 2019]
40,50,20,Median,40,[   0  109  977 1367 1803 2019]
40,50,20,Mode,40,[   0  176  513  869 1493 1828 2019]
40,50,20,Median,40,[   0  109 1045 1493 1803 2019]
40,50,20,Mode,40,[   0  176  513  869 1045 1493 1828 2019]
40,50,20,Median,40,[   0  109  869  996 1226 1493 1803 2019]
40,50,20,Mode,40,[   0  176  513  869 1226 1493 1828 2019]
40,50,20,Median,40,[   0  109  364  513  869 1226 1493 1803 2019]
40,50,20,Mode,40,[   0  176  364  513  869 1226 1493 1828 2019]
40,50,20,Median,40,[   0  109  364  513  869 1343 1493 1803 2019]
40,50,20,Mode,40,[   0  176  364  513  869 1226 1367 1493 1828 2019]
40,50,20,Median,40,[   0   41  176  364  513  869  996 1226 1343 1493 1803 2019]
40,50,20,Mode,40,[   0   41  176  364  513  869 1226 1367 1493 1828 2019]
