St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  549 1387 2019]
40,50,20,Mode,40,[   0 1207 2019]
40,50,20,Median,40,[   0  549 1207 1811 2019]
40,50,20,Mode,40,[   0 1207 1871 2019]
40,50,20,Median,40,[   0  569 1207 1811 2019]
40,50,20,Mode,40,[   0  202  484 1207 1871 2019]
40,50,20,Median,40,[   0  569 1207 1592 1871 2019]
40,50,20,Mode,40,[   0  202  484 1207 1592 1871 2019]
40,50,20,Median,40,[   0  484  620 1207 1592 1871 2019]
40,50,20,Mode,40,[   0  202  484  569 1207 1592 1871 2019]
40,50,20,Median,40,[   0 1207 1264 1592 1871 2019]
40,50,20,Mode,40,[   0  202  484  569 1207 1264 1592 1871 2019]
40,50,20,Median,40,[   0  484  569  667 1207 1264 1592 1871 2019]
40,50,20,Mode,40,[   0  202  484  569  667 1207 1264 1592 1871 2019]
40,50,20,Median,40,[   0  484  569  620 1207 1264 1592 1871 2019]
40,50,20,Mode,40,[   0  202  484  569  620 1207 1264 1592 1871 2019]
40,50,20,Median,40,[   0  132  202  484  569  620 1207 1264 1592 1871 2019]
40,50,20,Mode,40,[   0  132  202  484  569  620 1207 1264 1592 1871 2019]
