St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  323 2019]
40,50,20,Mode,40,[   0  136 1739 2019]
40,50,20,Median,40,[   0  266 1354 2019]
40,50,20,Mode,40,[   0  136 1354 1739 2019]
40,50,20,Median,40,[   0  961 1391 2019]
40,50,20,Mode,40,[   0  136  649 1739 2019]
40,50,20,Median,40,[   0  445 1109 1391 2019]
40,50,20,Mode,40,[   0  391 1109 1354 1739 2019]
40,50,20,Median,40,[   0  391  649 1109 1391 2019]
40,50,20,Mode,40,[   0  391  649 1109 1354 1739 2019]
40,50,20,Median,40,[   0  391  649 1109 1354 2019]
40,50,20,Mode,40,[   0  391  649 1109 1354 1513 1739 2019]
40,50,20,Median,40,[   0  391  649 1109 1354 1513 1861 2019]
40,50,20,Mode,40,[   0  391  649 1109 1354 1513 1739 2019]
40,50,20,Median,40,[   0  391  649  879 1109 1354 1513 1795 1952 2019]
40,50,20,Mode,40,[   0  391  649  879 1109 1354 1513 1739 1952 2019]
40,50,20,Median,40,[   0  136  238  391  649  879 1109 1354 1513 1861 2019]
40,50,20,Mode,40,[   0  136  238  391  649  879 1109 1354 1513 1739 2019]
