St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  318 2019]
40,50,20,Mode,40,[   0  318 2019]
40,50,20,Median,40,[   0  318 1662 2019]
40,50,20,Mode,40,[   0  318  972 1403 2019]
40,50,20,Median,40,[   0  318  972 1261 1772 2019]
40,50,20,Mode,40,[   0  318  972 1261 2019]
40,50,20,Median,40,[   0  262  972 1261 1772 2019]
40,50,20,Mode,40,[   0  318  972 1261 2019]
40,50,20,Median,40,[   0  137  318  972 1261 1772 2019]
40,50,20,Mode,40,[   0  166  972 1261 2019]
40,50,20,Median,40,[   0  137  318  972 1261 1487 1772 2019]
40,50,20,Mode,40,[   0  166  972 1261 1403 2019]
40,50,20,Median,40,[   0  137  318  949 1261 1508 1812 2019]
40,50,20,Mode,40,[   0  166  318  972 1075 1261 1403 1701 2019]
40,50,20,Median,40,[   0  137  318  912  972 1075 1261 1508 1812 2019]
40,50,20,Mode,40,[   0  166  454  912  972 1075 1261 1403 1701 2019]
40,50,20,Median,40,[   0  137  318  912  972 1075 1261 1487 1837 2019]
40,50,20,Mode,40,[   0  166  454  912  972 1075 1261 1403 1812 2019]
