St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  194  735 1180]
40,50,20,Mode,40,[   0  194  735 1180]
40,50,20,Median,40,[   0  194  676 1180]
40,50,20,Mode,40,[   0  194  735 1180]
40,50,20,Median,40,[   0   91  195  676 1180]
40,50,20,Mode,40,[   0   91  194  735 1180]
40,50,20,Median,40,[   0   91  195  636  735 1180]
40,50,20,Mode,40,[   0   91  194  636  735 1180]
40,50,20,Median,40,[   0   91  195  712 1180]
40,50,20,Mode,40,[   0   91  194  636  735 1180]
40,50,20,Median,40,[   0   91  194  256  615  712  829 1057 1180]
40,50,20,Mode,40,[   0   91  194  256  636  735 1180]
40,50,20,Median,40,[   0   91  194  256  636  712  829 1057 1180]
40,50,20,Mode,40,[   0   91  194  256  636  735 1180]
40,50,20,Median,40,[   0   91  194  256  500  636  685  829 1057 1180]
40,50,20,Mode,40,[   0   91  194  256  636  685  829 1180]
40,50,20,Median,40,[   0   91  194  256  636  685  829 1044 1090 1180]
40,50,20,Mode,40,[   0   91  194  256  636  685  829 1040 1090 1180]
