St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0   52  665 1180]
40,50,20,Mode,40,[   0   41  866 1180]
40,50,20,Median,40,[   0   41  819 1180]
40,50,20,Mode,40,[   0   41  866 1180]
40,50,20,Median,40,[   0   41  655 1180]
40,50,20,Mode,40,[   0   41  460 1180]
40,50,20,Median,40,[   0   41  460  585  799 1180]
40,50,20,Mode,40,[   0   41  460 1131 1180]
40,50,20,Median,40,[   0   41  460  585  763  866 1180]
40,50,20,Mode,40,[   0   41  460  585  733  866 1180]
40,50,20,Median,40,[   0   41  343  469  585  763  866 1180]
40,50,20,Mode,40,[   0   41  390  460  585  733  866 1180]
40,50,20,Median,40,[   0   41  354  469  585  763  866 1180]
40,50,20,Mode,40,[   0   41  390  460  585  733  866 1180]
40,50,20,Median,40,[   0   41  354  469  585  655  763  866 1180]
40,50,20,Mode,40,[   0   41  390  460  585  655  733  866 1131 1180]
40,50,20,Median,40,[   0   41  354  469  585  655  798  866 1180]
40,50,20,Mode,40,[   0   41  390  460  585  655  798  866 1180]
