St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  298  865 1180]
40,50,20,Mode,40,[   0  298  865 1180]
40,50,20,Median,40,[   0  298  533  865 1180]
40,50,20,Mode,40,[   0  298  533  865 1180]
40,50,20,Median,40,[   0   52  533  865 1180]
40,50,20,Mode,40,[   0   52  533  865 1180]
40,50,20,Median,40,[   0   52  533  711  867 1180]
40,50,20,Mode,40,[   0   52  533  711 1180]
40,50,20,Median,40,[   0   52  533  711  865  945 1180]
40,50,20,Mode,40,[   0   52  533  711  865  945 1180]
40,50,20,Median,40,[   0   52  533  711  865  945 1180]
40,50,20,Mode,40,[   0   52  533  711  865  945 1180]
40,50,20,Median,40,[   0   52  533  711  865  945 1180]
40,50,20,Mode,40,[   0   52  383  533  711  896 1047 1180]
40,50,20,Median,40,[   0   52  533  829  945 1180]
40,50,20,Mode,40,[   0   52  533  829  945 1180]
40,50,20,Median,40,[   0   52  533  829  945 1180]
40,50,20,Mode,40,[   0   52  533  829  945 1180]
