St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  348  731 1180]
40,50,20,Mode,40,[   0  116  678 1180]
40,50,20,Median,40,[   0  345  678 1180]
40,50,20,Mode,40,[   0  972 1180]
40,50,20,Median,40,[   0  116  393  685 1180]
40,50,20,Mode,40,[   0  116  345  678 1180]
40,50,20,Median,40,[   0  116  345  685 1180]
40,50,20,Mode,40,[   0  116  345  678 1180]
40,50,20,Median,40,[   0  116  345  685 1180]
40,50,20,Mode,40,[   0  116  345  678 1180]
40,50,20,Median,40,[   0  116  345  466  678  754  972 1180]
40,50,20,Mode,40,[   0  116  345  678 1180]
40,50,20,Median,40,[   0  116  345  403  678  754  972 1180]
40,50,20,Mode,40,[   0  116  345  393  678 1180]
40,50,20,Median,40,[   0  116  345  403  731  886  972 1180]
40,50,20,Mode,40,[   0  116  345  393  731  886  972 1180]
40,50,20,Median,40,[   0  116  345  403  602  678  886  972 1180]
40,50,20,Mode,40,[   0  116  345  466  602  678  886  972 1180]
