St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  293  863 1180]
40,50,20,Mode,40,[   0  827 1180]
40,50,20,Median,40,[   0  232  501 1180]
40,50,20,Mode,40,[   0  232  501 1180]
40,50,20,Median,40,[   0   62  254  501 1180]
40,50,20,Mode,40,[   0  232  501 1180]
40,50,20,Median,40,[   0   62  254  501 1180]
40,50,20,Mode,40,[   0  232  501 1180]
40,50,20,Median,40,[   0   62  254  501  659  888 1180]
40,50,20,Mode,40,[   0  232  659 1180]
40,50,20,Median,40,[   0   62  254  501  827  918 1180]
40,50,20,Mode,40,[   0  232  501  827  918 1180]
40,50,20,Median,40,[   0  232  501  827  918 1180]
40,50,20,Mode,40,[   0  232  501  827  918 1180]
40,50,20,Median,40,[   0  232  501  827  918 1180]
40,50,20,Mode,40,[   0   97  232  501  827  918 1180]
40,50,20,Median,40,[   0  232  501  827  918 1180]
40,50,20,Mode,40,[   0   97  232  501  827  918 1180]
