St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  346 1024 1180]
40,50,20,Mode,40,[   0   61  928 1180]
40,50,20,Median,40,[   0   61 1180]
40,50,20,Mode,40,[   0   61  513  928 1180]
40,50,20,Median,40,[   0   61  346 1024 1180]
40,50,20,Mode,40,[   0   61  513  928 1180]
40,50,20,Median,40,[   0   61  346  594  928 1098 1180]
40,50,20,Mode,40,[   0   61  513  928 1098 1180]
40,50,20,Median,40,[   0   61  594  928 1024 1098 1180]
40,50,20,Mode,40,[   0   61  513  928 1024 1098 1180]
40,50,20,Median,40,[   0   61  513  620  928 1024 1098 1180]
40,50,20,Mode,40,[   0   61  594  928 1024 1098 1180]
40,50,20,Median,40,[   0   61  594  683  928 1024 1098 1180]
40,50,20,Mode,40,[   0   61  594  928 1024 1098 1180]
40,50,20,Median,40,[   0   61  585  638  928 1024 1098 1180]
40,50,20,Mode,40,[   0   61  513  620  928 1024 1098 1180]
40,50,20,Median,40,[   0   61  585  638  928 1024 1098 1180]
40,50,20,Mode,40,[   0   61  513  620  928 1024 1098 1180]
