St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  227 1180]
40,50,20,Mode,40,[   0  227 1180]
40,50,20,Median,40,[   0  227  423 1180]
40,50,20,Mode,40,[   0  227  398 1180]
40,50,20,Median,40,[   0  227  398 1180]
40,50,20,Mode,40,[   0  227  398 1180]
40,50,20,Median,40,[   0   93  227  398 1180]
40,50,20,Mode,40,[   0  139  227  398 1180]
40,50,20,Median,40,[   0   93  227  398 1180]
40,50,20,Mode,40,[   0  139  227  398  934 1008 1180]
40,50,20,Median,40,[   0   49  227  398 1180]
40,50,20,Mode,40,[   0   49  227  398 1008 1082 1180]
40,50,20,Median,40,[   0   49  227  398  812  963 1180]
40,50,20,Mode,40,[   0   49  227  398 1008 1082 1180]
40,50,20,Median,40,[   0   49  227  398  812  963 1180]
40,50,20,Mode,40,[   0   49  227  398 1008 1082 1180]
40,50,20,Median,40,[   0   49  227  398  812  949 1008 1180]
40,50,20,Mode,40,[   0   49  227  398  812  934 1008 1180]
