St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  423  972 1180]
40,50,20,Mode,40,[   0  569 1180]
40,50,20,Median,40,[   0  158  972 1180]
40,50,20,Mode,40,[   0   85  569 1180]
40,50,20,Median,40,[   0  158  853 1080 1180]
40,50,20,Mode,40,[   0   85 1096 1180]
40,50,20,Median,40,[   0   85  411  569 1080 1180]
40,50,20,Mode,40,[   0   85 1096 1180]
40,50,20,Median,40,[   0   85  282  418  569 1080 1180]
40,50,20,Mode,40,[   0  282  412  569 1096 1180]
40,50,20,Median,40,[   0   85  282  420  569 1012 1180]
40,50,20,Mode,40,[   0   85  282  412  569  775  975 1096 1180]
40,50,20,Median,40,[   0   85  282  418  569  775  862 1180]
40,50,20,Mode,40,[   0   85  282  412  569  775  975 1096 1180]
40,50,20,Median,40,[   0   85  282  418  549  775  862 1180]
40,50,20,Mode,40,[   0   85  282  412  569  611  775  975 1096 1180]
40,50,20,Median,40,[   0   85  282  418  549  775  862  992 1096 1180]
40,50,20,Mode,40,[   0   85  282  412  569  611  775  975 1096 1180]
