St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  412  728 1180]
40,50,20,Mode,40,[   0  382  728 1180]
40,50,20,Median,40,[   0  382  666  938 1180]
40,50,20,Mode,40,[   0  382  728  938 1180]
40,50,20,Median,40,[   0  315  666  938 1180]
40,50,20,Mode,40,[   0  315  382  728  938 1180]
40,50,20,Median,40,[   0  382  728  938 1180]
40,50,20,Mode,40,[   0  218  382  448  728  938 1180]
40,50,20,Median,40,[   0  382  478  605  728  938 1180]
40,50,20,Mode,40,[   0  218  382  448  569  728  938 1180]
40,50,20,Median,40,[   0  382  478  605  728  938 1180]
40,50,20,Mode,40,[   0  218  382  448  569  728  938 1180]
40,50,20,Median,40,[   0  382  569  656  728  938 1180]
40,50,20,Mode,40,[   0  218  382  448  569  666  728  938 1180]
40,50,20,Median,40,[   0  218  382  569  656  728  938 1180]
40,50,20,Mode,40,[   0  218  382  448  569  666  728  938 1180]
40,50,20,Median,40,[   0   55  315  478  569  656  728  938 1180]
40,50,20,Mode,40,[   0  315  382  448  569  666  728  938 1180]
