St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  358  736 1180]
40,50,20,Mode,40,[   0  117  792 1180]
40,50,20,Median,40,[   0  117  392  789 1180]
40,50,20,Mode,40,[   0  117  358  792 1180]
40,50,20,Median,40,[   0  117  392  713 1082 1180]
40,50,20,Mode,40,[   0  117  358  792 1046 1180]
40,50,20,Median,40,[   0  117  392  619  792 1180]
40,50,20,Mode,40,[   0  117  358  619  792 1046 1180]
40,50,20,Median,40,[   0  117  358  445  619  792 1180]
40,50,20,Mode,40,[   0  117  358  445  619  792 1046 1180]
40,50,20,Median,40,[   0  117  358  445  619  713  792 1180]
40,50,20,Mode,40,[   0  117  358  445  619  707  792 1046 1180]
40,50,20,Median,40,[   0  117  358  445  619  713  792 1180]
40,50,20,Mode,40,[   0  117  358  445  619  707  792 1046 1180]
40,50,20,Median,40,[   0  117  358  445  619  713  792 1046 1180]
40,50,20,Mode,40,[   0  117  358  445  619  707  792 1046 1180]
40,50,20,Median,40,[   0  117  358  445  576  619  713  792 1046 1180]
40,50,20,Mode,40,[   0  117  358  445  570  619  707  792 1046 1180]
