St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  387  750 1180]
40,50,20,Mode,40,[   0  387  628 1180]
40,50,20,Median,40,[   0  127  512  898 1180]
40,50,20,Mode,40,[   0  127  628  727 1180]
40,50,20,Median,40,[   0  127  444  628  949 1180]
40,50,20,Mode,40,[   0  127  387  628 1180]
40,50,20,Median,40,[   0  127  378  513  949 1180]
40,50,20,Mode,40,[   0  127  387  628 1180]
40,50,20,Median,40,[   0  127  387  513 1050 1180]
40,50,20,Mode,40,[   0  127  387  628 1050 1180]
40,50,20,Median,40,[   0  127  387  727 1050 1180]
40,50,20,Mode,40,[   0  127  387  727  898 1050 1180]
40,50,20,Median,40,[   0  127  243  387  511  727 1050 1180]
40,50,20,Mode,40,[   0  127  243  387  513  727  898 1050 1180]
40,50,20,Median,40,[   0  127  284  387  511  727 1050 1180]
40,50,20,Mode,40,[   0  127  243  387  513  727  898 1050 1180]
40,50,20,Median,40,[   0  127  284  387  513  727 1050 1180]
40,50,20,Mode,40,[   0  127  243  387  513  727  898 1050 1180]
