St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  408  906 1180]
40,50,20,Mode,40,[   0  906 1180]
40,50,20,Median,40,[   0  251  906 1180]
40,50,20,Mode,40,[   0  300  534  906 1180]
40,50,20,Median,40,[   0  454  906 1180]
40,50,20,Mode,40,[   0  300  534  598  906 1180]
40,50,20,Median,40,[   0  406  534  906 1180]
40,50,20,Mode,40,[   0  405  534  906 1180]
40,50,20,Median,40,[   0   95  406  534  906 1180]
40,50,20,Mode,40,[   0   95  300  405  534  906 1180]
40,50,20,Median,40,[   0   95  408  534  906 1024 1180]
40,50,20,Mode,40,[   0   95  300  405  534  906 1024 1180]
40,50,20,Median,40,[   0  406  534  598  906 1024 1180]
40,50,20,Mode,40,[   0  405  534  598  906 1180]
40,50,20,Median,40,[   0   95  244  300  534  598  906 1024 1180]
40,50,20,Mode,40,[   0  251  300  405  534  598  906 1024 1180]
40,50,20,Median,40,[   0   95  300  534  598  739  858  906 1180]
40,50,20,Mode,40,[   0  251  300  405  534  598  739  858  906 1180]
