St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1006 1180]
40,50,20,Mode,40,[   0  670 1047 1180]
40,50,20,Median,40,[   0  102  609 1006 1180]
40,50,20,Mode,40,[   0   45  670 1047 1180]
40,50,20,Median,40,[   0  670 1006 1180]
40,50,20,Mode,40,[   0   45  670 1047 1180]
40,50,20,Median,40,[   0  517  614  801 1047 1180]
40,50,20,Mode,40,[   0   45  861 1047 1180]
40,50,20,Median,40,[   0  517  614  801 1047 1180]
40,50,20,Mode,40,[   0   45  861 1047 1180]
40,50,20,Median,40,[   0  517  614  670 1047 1180]
40,50,20,Mode,40,[   0  320  517  614  670  861 1047 1180]
40,50,20,Median,40,[   0  517  614  670 1047 1180]
40,50,20,Mode,40,[   0  320  517  614  670  861 1047 1180]
40,50,20,Median,40,[   0  444  517  614  670 1047 1180]
40,50,20,Mode,40,[   0  444  517  614  670  861 1047 1180]
40,50,20,Median,40,[   0  444  517  614  670  861 1047 1180]
40,50,20,Mode,40,[   0  444  517  614  670  861 1047 1180]
