St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  743 1180]
40,50,20,Mode,40,[   0  209  743 1180]
40,50,20,Median,40,[   0  209  543  799 1180]
40,50,20,Mode,40,[   0  209  743 1180]
40,50,20,Median,40,[   0  209  743 1049 1180]
40,50,20,Mode,40,[   0  209  743 1049 1180]
40,50,20,Median,40,[   0  280  543 1049 1180]
40,50,20,Mode,40,[   0  209  743 1049 1180]
40,50,20,Median,40,[   0  244  406 1049 1180]
40,50,20,Mode,40,[   0  209  406  543  743 1049 1180]
40,50,20,Median,40,[   0  244  406  543  849 1049 1180]
40,50,20,Mode,40,[   0  209  406  543  743  799 1049 1180]
40,50,20,Median,40,[   0  244  406  543  595  743 1049 1180]
40,50,20,Mode,40,[   0  406  543  595  743  799 1180]
40,50,20,Median,40,[   0  209  280  406  543  595  743 1049 1180]
40,50,20,Mode,40,[   0  209  280  406  543  595  743  799 1180]
40,50,20,Median,40,[   0  209  280  406  543  595  743  799  849 1049 1180]
40,50,20,Mode,40,[   0  209  280  406  543  595  743  799  849 1049 1180]
