St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  383  814 1180]
40,50,20,Mode,40,[   0  383 1118 1180]
40,50,20,Median,40,[   0  313  662 1180]
40,50,20,Mode,40,[   0  564 1118 1180]
40,50,20,Median,40,[   0  460  723 1180]
40,50,20,Mode,40,[   0  723 1180]
40,50,20,Median,40,[   0  662 1180]
40,50,20,Mode,40,[   0  564 1118 1180]
40,50,20,Median,40,[   0  383  513  687 1180]
40,50,20,Mode,40,[   0  723  930 1118 1180]
40,50,20,Median,40,[   0  271  383  558  687 1180]
40,50,20,Mode,40,[   0  271  383  723  930 1118 1180]
40,50,20,Median,40,[   0  271  383  558  687  930 1118 1180]
40,50,20,Mode,40,[   0  271  383  723  797 1118 1180]
40,50,20,Median,40,[   0  148  271  383  558  687  930 1118 1180]
40,50,20,Mode,40,[   0  148  271  383  723  797 1118 1180]
40,50,20,Median,40,[   0  148  271  383  558  662  723  930 1118 1180]
40,50,20,Mode,40,[   0  148  271  383  564  658  723  797 1118 1180]
