St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  958 1180]
40,50,20,Mode,40,[   0  958 1180]
40,50,20,Median,40,[   0  261  519 1180]
40,50,20,Mode,40,[   0  350  492  958 1180]
40,50,20,Median,40,[   0  261  511  715 1180]
40,50,20,Mode,40,[   0  350  492  715  958 1180]
40,50,20,Median,40,[   0   57  261  511  715 1180]
40,50,20,Mode,40,[   0  350  492  715  958 1180]
40,50,20,Median,40,[   0   57  258  350  511  715 1180]
40,50,20,Mode,40,[   0  261  492  715  958 1180]
40,50,20,Median,40,[   0   57  258  511  715  958 1005 1180]
40,50,20,Mode,40,[   0  261  492  715  958 1005 1180]
40,50,20,Median,40,[   0   57  258  511  710  958 1005 1180]
40,50,20,Mode,40,[   0  261  492  715  767  958 1005 1180]
40,50,20,Median,40,[   0   57  258  519  710  958 1005 1180]
40,50,20,Mode,40,[   0  261  492  715  767  958 1005 1180]
40,50,20,Median,40,[   0   57  258  519  710  958 1005 1180]
40,50,20,Mode,40,[   0  261  492  715  767  958 1005 1180]
