St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  325  814 1180]
40,50,20,Mode,40,[   0  187 1180]
40,50,20,Median,40,[   0  230  691  852 1180]
40,50,20,Mode,40,[   0  187  691  852 1180]
40,50,20,Median,40,[   0  230  592  852 1180]
40,50,20,Mode,40,[   0  187  691  852 1180]
40,50,20,Median,40,[   0  187  340  592  852 1180]
40,50,20,Mode,40,[   0  187  383  691  852 1180]
40,50,20,Median,40,[   0  187  340  534  691  852 1180]
40,50,20,Mode,40,[   0  187  383  534  691  852 1180]
40,50,20,Median,40,[   0  187  340  534  691  852 1180]
40,50,20,Mode,40,[   0  187  383  534  691  852 1180]
40,50,20,Median,40,[   0  187  383  534  691  852 1180]
40,50,20,Mode,40,[   0  187  383  534  691  852 1180]
40,50,20,Median,40,[   0  187  383  534  691  852 1180]
40,50,20,Mode,40,[   0  187  383  534  691  852 1180]
40,50,20,Median,40,[   0  187  383  534  691  852 1180]
40,50,20,Mode,40,[   0  187  383  534  691  852 1180]
