St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  321  875 1180]
40,50,20,Mode,40,[   0   53  875 1180]
40,50,20,Median,40,[   0  241  593  985 1180]
40,50,20,Mode,40,[   0   53  710  875 1180]
40,50,20,Median,40,[   0  187  710 1020 1180]
40,50,20,Mode,40,[   0   53  321  875 1020 1180]
40,50,20,Median,40,[   0   53  321  522  710 1020 1180]
40,50,20,Mode,40,[   0   53  321  538  875 1020 1180]
40,50,20,Median,40,[   0   53  257  694  875 1020 1180]
40,50,20,Mode,40,[   0   53  321  538  710 1020 1180]
40,50,20,Median,40,[   0   53  257  694  875 1014 1180]
40,50,20,Mode,40,[   0   53  321  538  710 1020 1180]
40,50,20,Median,40,[   0   53  241  378  522  710  875 1014 1180]
40,50,20,Mode,40,[   0   53  321  538  710 1020 1180]
40,50,20,Median,40,[   0   53  321  522  710 1014 1180]
40,50,20,Mode,40,[   0   53  321  538  710 1020 1180]
40,50,20,Median,40,[   0   53  321  522  710 1014 1090 1180]
40,50,20,Mode,40,[   0   53  321  538  710 1020 1090 1180]
