St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  814 1180]
40,50,20,Mode,40,[   0   97 1036 1180]
40,50,20,Median,40,[   0  208  711 1180]
40,50,20,Mode,40,[   0  679 1180]
40,50,20,Median,40,[   0  208  679  824 1036 1180]
40,50,20,Mode,40,[   0  679  824 1036 1180]
40,50,20,Median,40,[   0   97  210  679  824 1036 1180]
40,50,20,Mode,40,[   0   97  210  679  824 1036 1180]
40,50,20,Median,40,[   0   97  210  679  824 1036 1180]
40,50,20,Mode,40,[   0   97  210  679  824 1036 1180]
40,50,20,Median,40,[   0   97  210  679  824 1036 1180]
40,50,20,Mode,40,[   0   97  210  679  824 1036 1180]
40,50,20,Median,40,[   0   97  210  679  824 1036 1180]
40,50,20,Mode,40,[   0   97  210  679  824 1036 1180]
40,50,20,Median,40,[   0   97  210  679  824 1036 1180]
40,50,20,Mode,40,[   0   97  210  679  824 1036 1180]
40,50,20,Median,40,[   0   97  210  679  824 1036 1180]
40,50,20,Mode,40,[   0   97  210  679  824 1036 1180]
