St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0   53 1180]
40,50,20,Mode,40,[   0   53 1180]
40,50,20,Median,40,[   0   53  380  852 1180]
40,50,20,Mode,40,[   0   53  380  851 1180]
40,50,20,Median,40,[   0   53  380  851  935 1180]
40,50,20,Mode,40,[   0   53  380  851  898 1180]
40,50,20,Median,40,[   0   53  380  851  935 1180]
40,50,20,Mode,40,[   0   53  380  851  898 1180]
40,50,20,Median,40,[   0   53  380  851  935 1180]
40,50,20,Mode,40,[   0   53  380  851  898 1180]
40,50,20,Median,40,[   0   53  133  692  851  935 1180]
40,50,20,Mode,40,[   0   53  380  851  898 1180]
40,50,20,Median,40,[   0   53  133  692  851  898 1180]
40,50,20,Mode,40,[   0   53  380  851  898 1180]
40,50,20,Median,40,[   0   53  133  380  619  706  851  898 1180]
40,50,20,Mode,40,[   0   53  380  619  679  851  898 1180]
40,50,20,Median,40,[   0   53  120  203  380  619  706  851  898 1180]
40,50,20,Mode,40,[   0   53  108  203  380  619  679  851  898 1180]
