St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  330  865 1180]
40,50,20,Mode,40,[   0 1056 1180]
40,50,20,Median,40,[   0  438  878 1180]
40,50,20,Mode,40,[   0 1056 1180]
40,50,20,Median,40,[   0  432  839 1056 1180]
40,50,20,Mode,40,[   0  416  865 1056 1180]
40,50,20,Median,40,[   0  416  623  859 1056 1180]
40,50,20,Mode,40,[   0  416  618  865 1056 1180]
40,50,20,Median,40,[   0  185  416  623  859 1056 1180]
40,50,20,Mode,40,[   0  416  618  865 1056 1180]
40,50,20,Median,40,[   0  185  432  623  859 1056 1180]
40,50,20,Mode,40,[   0  416  618  865 1056 1180]
40,50,20,Median,40,[   0  110  216  432  623  859 1056 1180]
40,50,20,Mode,40,[   0  110  216  416  618  865 1056 1180]
40,50,20,Median,40,[   0  110  216  432  623  832 1056 1180]
40,50,20,Mode,40,[   0  110  216  416  618  839 1056 1180]
40,50,20,Median,40,[   0  110  216  432  618  832 1056 1180]
40,50,20,Mode,40,[   0  110  216  416  618  839 1056 1180]
