St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  531 1180]
40,50,20,Mode,40,[   0  598  860 1180]
40,50,20,Median,40,[   0  271  598 1180]
40,50,20,Mode,40,[   0  271  598  860 1180]
40,50,20,Median,40,[   0  271  598  865 1180]
40,50,20,Mode,40,[   0  271  598  860 1029 1180]
40,50,20,Median,40,[   0  271  598  860  935 1180]
40,50,20,Mode,40,[   0  271  598  860  912 1180]
40,50,20,Median,40,[   0  271  598  860  935 1180]
40,50,20,Mode,40,[   0  271  598  860  912 1180]
40,50,20,Median,40,[   0  271  598  860  935 1180]
40,50,20,Mode,40,[   0  271  598  860  912 1180]
40,50,20,Median,40,[   0  271  598  860  935 1180]
40,50,20,Mode,40,[   0  271  598  860  912 1180]
40,50,20,Median,40,[   0  271  598  856  912 1180]
40,50,20,Mode,40,[   0  271  598  860  912 1180]
40,50,20,Median,40,[   0  271  598  856  912 1180]
40,50,20,Mode,40,[   0  271  598  860  912 1180]
