St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  947 1180]
40,50,20,Mode,40,[   0   55  947 1180]
40,50,20,Median,40,[   0   55  488  947 1180]
40,50,20,Mode,40,[   0   55  488  947 1180]
40,50,20,Median,40,[   0   55  814 1025 1180]
40,50,20,Mode,40,[   0   55  488  845 1180]
40,50,20,Median,40,[   0   55  395  488  814 1025 1180]
40,50,20,Mode,40,[   0   55  395  488  845 1180]
40,50,20,Median,40,[   0   55  395  488  947 1033 1180]
40,50,20,Mode,40,[   0   55  395  488  947 1025 1180]
40,50,20,Median,40,[   0   55  395  488  701  845  947 1033 1180]
40,50,20,Mode,40,[   0   55  395  488  701  845  947 1025 1180]
40,50,20,Median,40,[   0   55  395  488  701  845  947 1025 1113 1180]
40,50,20,Mode,40,[   0   55  395  488  701  845  947 1025 1089 1180]
40,50,20,Median,40,[   0   55  395  488  566  701  845  947 1025 1113 1180]
40,50,20,Mode,40,[   0   55  395  488  566  701  845  947 1025 1089 1180]
40,50,20,Median,40,[   0   55  395  488  566  701  845  947 1025 1113 1180]
40,50,20,Mode,40,[   0   55  395  488  566  701  845  947 1025 1089 1180]
