St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1025 1180]
40,50,20,Mode,40,[   0 1109 1180]
40,50,20,Median,40,[   0  276  514 1025 1180]
40,50,20,Mode,40,[   0  276  393 1109 1180]
40,50,20,Median,40,[   0  276  514  896 1109 1180]
40,50,20,Mode,40,[   0  276  393  896 1109 1180]
40,50,20,Median,40,[   0  135  390  522  896 1109 1180]
40,50,20,Mode,40,[   0  135  393  514  896 1109 1180]
40,50,20,Median,40,[   0  135  280  393  522  896 1109 1180]
40,50,20,Mode,40,[   0  135  276  393  514  896 1109 1180]
40,50,20,Median,40,[   0  135  280  393  522  896 1109 1180]
40,50,20,Mode,40,[   0  135  276  393  514  651  896 1109 1180]
40,50,20,Median,40,[   0  135  280  393  522  896 1025 1109 1180]
40,50,20,Mode,40,[   0  135  276  393  514  651  896 1025 1109 1180]
40,50,20,Median,40,[   0  135  280  393  522  819  896 1025 1109 1180]
40,50,20,Mode,40,[   0  135  276  393  514  819  896 1025 1109 1180]
40,50,20,Median,40,[   0  135  280  393  522  819  896 1025 1109 1180]
40,50,20,Mode,40,[   0  135  276  393  514  819  896 1025 1109 1180]
