St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  215 1180]
40,50,20,Mode,40,[   0  215  981 1180]
40,50,20,Median,40,[   0  215  639  981 1180]
40,50,20,Mode,40,[   0  215  617  981 1180]
40,50,20,Median,40,[   0  203  639  981 1180]
40,50,20,Mode,40,[   0  215  400  617  981 1180]
40,50,20,Median,40,[   0  203  617  720  981 1180]
40,50,20,Mode,40,[   0  215  400  617  700  981 1180]
40,50,20,Median,40,[   0  203  617  720  981 1180]
40,50,20,Mode,40,[   0  215  400  617  700  981 1180]
40,50,20,Median,40,[   0  203  617  720  981 1180]
40,50,20,Mode,40,[   0   69  215  400  617  700  981 1180]
40,50,20,Median,40,[   0  203  617  704  981 1180]
40,50,20,Mode,40,[   0   69  215  400  617  700  981 1180]
40,50,20,Median,40,[   0  203  617  704  981 1180]
40,50,20,Mode,40,[   0   69  215  317  400  617  700  981 1180]
40,50,20,Median,40,[   0  203  617  704  981 1024 1180]
40,50,20,Mode,40,[   0   69  215  317  400  617  700  981 1024 1180]
