St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  131  838 1180]
40,50,20,Mode,40,[   0   52 1180]
40,50,20,Median,40,[   0   52 1180]
40,50,20,Mode,40,[   0   52 1180]
40,50,20,Median,40,[   0   52  364  733  977 1180]
40,50,20,Mode,40,[   0   52  838 1048 1180]
40,50,20,Median,40,[   0   52  337  697 1048 1180]
40,50,20,Mode,40,[   0   52  337  697 1048 1180]
40,50,20,Median,40,[   0   52  197  697 1048 1180]
40,50,20,Mode,40,[   0   52  207  697 1048 1180]
40,50,20,Median,40,[   0   52  197  697 1048 1180]
40,50,20,Mode,40,[   0   52  207  697 1048 1180]
40,50,20,Median,40,[   0   52  197  697 1048 1180]
40,50,20,Mode,40,[   0   52  207  697 1048 1180]
40,50,20,Median,40,[   0   52  197  697  977 1180]
40,50,20,Mode,40,[   0   52  207  697  977 1180]
40,50,20,Median,40,[   0   52  197  415  536  697  977 1180]
40,50,20,Mode,40,[   0   52  207  697  977 1180]
