St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  856 1180]
40,50,20,Mode,40,[   0  856 1180]
40,50,20,Median,40,[   0  647 1180]
40,50,20,Mode,40,[   0  714 1180]
40,50,20,Median,40,[   0  201  531  856 1036 1180]
40,50,20,Mode,40,[   0  201  397  856 1180]
40,50,20,Median,40,[   0  201  397  856 1036 1180]
40,50,20,Mode,40,[   0  201  397  714 1180]
40,50,20,Median,40,[   0  201  397  555  856 1036 1180]
40,50,20,Mode,40,[   0  201  397  555  714 1180]
40,50,20,Median,40,[   0  201  397  555  714 1180]
40,50,20,Mode,40,[   0  201  397  555  714 1180]
40,50,20,Median,40,[   0  117  201  397  555  714 1180]
40,50,20,Mode,40,[   0  117  201  397  555  714 1180]
40,50,20,Median,40,[   0  117  201  268  397  555  714 1180]
40,50,20,Mode,40,[   0  117  259  397  555 1180]
40,50,20,Median,40,[   0  117  201  268  397  555  711 1180]
40,50,20,Mode,40,[   0  117  259  397  555 1180]
