St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  308  853 1180]
40,50,20,Mode,40,[   0  308  619 1180]
40,50,20,Median,40,[   0  308  619  957 1180]
40,50,20,Mode,40,[   0  308  619  957 1180]
40,50,20,Median,40,[   0  308  619  950 1105 1180]
40,50,20,Mode,40,[   0  308  619  957 1058 1180]
40,50,20,Median,40,[   0  158  308  619  950 1105 1180]
40,50,20,Mode,40,[   0  211  619  957 1058 1180]
40,50,20,Median,40,[   0  158  308  619  695  950 1105 1180]
40,50,20,Mode,40,[   0  211  619  695  957 1058 1180]
40,50,20,Median,40,[   0  158  308  619  695  853  957 1180]
40,50,20,Mode,40,[   0  211  619  695  853  957 1058 1180]
40,50,20,Median,40,[   0   92  211  619  695  853  957 1180]
40,50,20,Mode,40,[   0   92  211  619  695  853  957 1058 1180]
40,50,20,Median,40,[   0   92  211  492  619  695  853  957 1180]
40,50,20,Mode,40,[   0   92  211  492  619  695  853  957 1058 1180]
40,50,20,Median,40,[   0   92  211  492  619  695  853  957 1180]
40,50,20,Mode,40,[   0   92  211  492  619  695  853  957 1058 1180]
