St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  166  821 1180]
40,50,20,Mode,40,[   0  476 1180]
40,50,20,Median,40,[   0  165 1180]
40,50,20,Mode,40,[   0  166 1180]
40,50,20,Median,40,[   0  165 1134 1180]
40,50,20,Mode,40,[   0  166 1130 1180]
40,50,20,Median,40,[   0  165 1134 1180]
40,50,20,Mode,40,[   0  166 1130 1180]
40,50,20,Median,40,[   0  165  619  673  877 1134 1180]
40,50,20,Mode,40,[   0  166  619  673  877 1130 1180]
40,50,20,Median,40,[   0  165  619  673  877 1134 1180]
40,50,20,Mode,40,[   0  166  243  619  673  877 1130 1180]
40,50,20,Median,40,[   0  165  619  673  877  961 1134 1180]
40,50,20,Mode,40,[   0  166  243  619  673  877  961 1180]
40,50,20,Median,40,[   0  165  619  673  821  877  961 1134 1180]
40,50,20,Mode,40,[   0  166  243  619  673  821  877  961 1180]
40,50,20,Median,40,[   0   73  165  255  619  673  821  877  961 1134 1180]
40,50,20,Mode,40,[   0   73  166  243  619  673  821  877  961 1180]
