St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  298  857 1180]
40,50,20,Mode,40,[   0  298  685 1180]
40,50,20,Median,40,[   0  190  685  966 1180]
40,50,20,Mode,40,[   0  298  685  857 1180]
40,50,20,Median,40,[   0  685  857 1062 1180]
40,50,20,Mode,40,[   0  298  685  857 1062 1180]
40,50,20,Median,40,[   0  305  685  857 1062 1180]
40,50,20,Mode,40,[   0  298  685  857 1062 1180]
40,50,20,Median,40,[   0  513  685  857 1062 1180]
40,50,20,Mode,40,[   0  298  685  857 1062 1180]
40,50,20,Median,40,[   0  513  685  857 1062 1180]
40,50,20,Mode,40,[   0  298  685  857 1062 1180]
40,50,20,Median,40,[   0  102  190  305  685  857 1062 1180]
40,50,20,Mode,40,[   0  106  238  298  685  857 1062 1180]
40,50,20,Median,40,[   0  102  190  305  489  562  685  857 1062 1180]
40,50,20,Mode,40,[   0  106  238  298  513  562  685  857 1062 1180]
40,50,20,Median,40,[   0  102  190  305  489  562  685  857 1062 1180]
40,50,20,Mode,40,[   0  106  238  298  513  562  685  857 1062 1180]
