St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1095 1180]
40,50,20,Mode,40,[   0 1095 1180]
40,50,20,Median,40,[   0 1095 1180]
40,50,20,Mode,40,[   0 1095 1180]
40,50,20,Median,40,[   0 1095 1180]
40,50,20,Mode,40,[   0 1095 1180]
40,50,20,Median,40,[   0  165  407  573  845 1095 1180]
40,50,20,Mode,40,[   0  845 1095 1180]
40,50,20,Median,40,[   0  165  407  573  845 1095 1180]
40,50,20,Mode,40,[   0  845 1095 1180]
40,50,20,Median,40,[   0  845 1013 1095 1180]
40,50,20,Mode,40,[   0  845 1013 1095 1180]
40,50,20,Median,40,[   0  407  463  594  845 1013 1095 1180]
40,50,20,Mode,40,[   0  407  463  594  845 1013 1095 1180]
40,50,20,Median,40,[   0  407  463  544  594  845 1013 1095 1180]
40,50,20,Mode,40,[   0  407  463  542  594  845 1013 1095 1180]
40,50,20,Median,40,[   0  356  407  463  544  594  845 1013 1095 1180]
40,50,20,Mode,40,[   0  356  407  463  542  594  845 1013 1095 1180]
