St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  340 1180]
40,50,20,Mode,40,[   0  229  736 1180]
40,50,20,Median,40,[   0  229  680 1064 1180]
40,50,20,Mode,40,[   0  229  736 1134 1180]
40,50,20,Median,40,[   0  211  396  736 1092 1180]
40,50,20,Mode,40,[   0  510  736 1134 1180]
40,50,20,Median,40,[   0  211  396  680  893 1092 1180]
40,50,20,Mode,40,[   0  510  736  893 1134 1180]
40,50,20,Median,40,[   0  211  365  510  680  893 1092 1180]
40,50,20,Mode,40,[   0  229  396  510  736  893 1134 1180]
40,50,20,Median,40,[   0   52  229  365  510  680  893 1092 1180]
40,50,20,Mode,40,[   0   52  229  396  510  736  893 1134 1180]
40,50,20,Median,40,[   0   52  229  365  510  680  893 1064 1134 1180]
40,50,20,Mode,40,[   0   52  229  396  510  736  893 1134 1180]
40,50,20,Median,40,[   0   52  365  510  736  893 1134 1180]
40,50,20,Mode,40,[   0   52  229  396  510  736  893 1134 1180]
40,50,20,Median,40,[   0   52  365  510  736  809  893 1042 1134 1180]
40,50,20,Mode,40,[   0   52  229  396  510  680  736  809  893 1134 1180]
