St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  801 1180]
40,50,20,Mode,40,[   0  801 1180]
40,50,20,Median,40,[   0  760 1134 1180]
40,50,20,Mode,40,[   0  801  947 1180]
40,50,20,Median,40,[   0  157  760 1134 1180]
40,50,20,Mode,40,[   0  157  281  801  947 1180]
40,50,20,Median,40,[   0  157  294  801 1180]
40,50,20,Mode,40,[   0  157  281  801 1180]
40,50,20,Median,40,[   0  157  294  760 1180]
40,50,20,Mode,40,[   0  157  281  801  947 1134 1180]
40,50,20,Median,40,[   0  157  294  462  606  760 1180]
40,50,20,Mode,40,[   0  157  281  462  600  801  947 1134 1180]
40,50,20,Median,40,[   0  157  281  347  462  606  760 1180]
40,50,20,Mode,40,[   0  157  281  339  462  600  801  947 1134 1180]
40,50,20,Median,40,[   0  157  281  347  462  606  760 1180]
40,50,20,Mode,40,[   0  157  281  339  462  600  801  947 1134 1180]
40,50,20,Median,40,[   0  157  281  347  462  744  801  947 1180]
40,50,20,Mode,40,[   0  157  281  339  462  731  801  947 1180]
