St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  546 1180]
40,50,20,Mode,40,[   0  625  874 1180]
40,50,20,Median,40,[   0  387  625 1180]
40,50,20,Mode,40,[   0  625  874 1180]
40,50,20,Median,40,[   0  579  874 1139 1180]
40,50,20,Mode,40,[   0  625  874 1180]
40,50,20,Median,40,[   0  496  631  874 1139 1180]
40,50,20,Mode,40,[   0  625  874 1180]
40,50,20,Median,40,[   0  625  874 1139 1180]
40,50,20,Mode,40,[   0  257  415  625  701  874 1180]
40,50,20,Median,40,[   0   63  257  625  874 1139 1180]
40,50,20,Mode,40,[   0  257  415  625  701  874 1180]
40,50,20,Median,40,[   0   63  257  461  546  625  874 1139 1180]
40,50,20,Mode,40,[   0  257  415  546  701  874 1180]
40,50,20,Median,40,[   0   63  257  461  546  625  874 1139 1180]
40,50,20,Mode,40,[   0  338  415  546  701  874 1180]
40,50,20,Median,40,[   0   63  257  387  546  625  874  929 1139 1180]
40,50,20,Mode,40,[   0  415  457  701  874  929 1180]
