St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  543 1180]
40,50,20,Mode,40,[   0  587 1180]
40,50,20,Median,40,[   0  162  573 1180]
40,50,20,Mode,40,[   0  162  587  856 1180]
40,50,20,Median,40,[   0  162  688 1053 1180]
40,50,20,Mode,40,[   0  162  587  688 1180]
40,50,20,Median,40,[   0  162  587  856 1180]
40,50,20,Mode,40,[   0  162  587  856  994 1180]
40,50,20,Median,40,[   0  162  587  688  856 1180]
40,50,20,Mode,40,[   0  162  587  688  856  994 1180]
40,50,20,Median,40,[   0  162  290  587  688  856 1180]
40,50,20,Mode,40,[   0  162  290  587  688  856  994 1180]
40,50,20,Median,40,[   0  162  290  587  688  853  982 1079 1180]
40,50,20,Mode,40,[   0  162  290  587  688  856 1053 1180]
40,50,20,Median,40,[   0  162  290  587  688  853  982 1079 1180]
40,50,20,Mode,40,[   0  162  290  587  688  856 1053 1180]
40,50,20,Median,40,[   0  162  290  468  543  587  688  853  982 1079 1180]
40,50,20,Mode,40,[   0  162  290  468  543  587  688  856 1053 1180]
