St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  316  935 1180]
40,50,20,Mode,40,[   0  234 1127 1180]
40,50,20,Median,40,[   0  556  935 1180]
40,50,20,Mode,40,[   0  234 1127 1180]
40,50,20,Median,40,[   0  234  573 1180]
40,50,20,Mode,40,[   0  234  362 1127 1180]
40,50,20,Median,40,[   0  234  573 1127 1180]
40,50,20,Mode,40,[   0  234  362 1127 1180]
40,50,20,Median,40,[   0  362  573 1127 1180]
40,50,20,Mode,40,[   0  139  234 1127 1180]
40,50,20,Median,40,[   0  139  234  316  362  573 1127 1180]
40,50,20,Mode,40,[   0  139  234  316  362 1127 1180]
40,50,20,Median,40,[   0  139  234  316  362  668 1127 1180]
40,50,20,Mode,40,[   0  139  234  316  362  668 1127 1180]
40,50,20,Median,40,[   0  139  234  316  362  404  547  668 1127 1180]
40,50,20,Mode,40,[   0  139  234  316  362  404  547  668 1127 1180]
40,50,20,Median,40,[   0  139  234  316  362  404  547  668  881  935 1127 1180]
40,50,20,Mode,40,[   0  139  234  316  362  404  547  668  881  935 1127 1180]
