St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  217  778 1180]
40,50,20,Mode,40,[   0  611 1180]
40,50,20,Median,40,[   0  173 1180]
40,50,20,Mode,40,[   0  173 1180]
40,50,20,Median,40,[   0  173  457  685  946 1180]
40,50,20,Mode,40,[   0  173  457  946 1180]
40,50,20,Median,40,[   0  173  457  642  946 1138 1180]
40,50,20,Mode,40,[   0  173  457 1139 1180]
40,50,20,Median,40,[   0  173  457  642  778  946 1138 1180]
40,50,20,Mode,40,[   0  173  457  611  778  946 1139 1180]
40,50,20,Median,40,[   0  173  611  685  778 1180]
40,50,20,Mode,40,[   0  173  611  685  778 1180]
40,50,20,Median,40,[   0  126  207  611  685  778  946 1138 1180]
40,50,20,Mode,40,[   0  126  173  611  685  778 1180]
40,50,20,Median,40,[   0  126  207  611  685  778  946 1012 1139 1180]
40,50,20,Mode,40,[   0  126  173  611  685  778  946 1012 1139 1180]
40,50,20,Median,40,[   0  126  207  457  510  611  685  778  946 1012 1139 1180]
40,50,20,Mode,40,[   0  126  173  457  510  611  685  778  946 1012 1139 1180]
