St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  292  756 1180]
40,50,20,Mode,40,[   0   92  932 1180]
40,50,20,Median,40,[   0  567 1180]
40,50,20,Mode,40,[   0   92  614  932 1180]
40,50,20,Median,40,[   0  192  614  900 1180]
40,50,20,Mode,40,[   0   92  461  614  932 1180]
40,50,20,Median,40,[   0   92  292  461  614  900 1180]
40,50,20,Mode,40,[   0   92  292  461  614  932 1180]
40,50,20,Median,40,[   0   92  292  461  614  733 1180]
40,50,20,Mode,40,[   0   92  292  461  614  932 1180]
40,50,20,Median,40,[   0   92  292  461  614  733  850  932 1180]
40,50,20,Mode,40,[   0   92  292  461  614  756  850  932 1180]
40,50,20,Median,40,[   0   92  192  461  614  733  850  932 1180]
40,50,20,Mode,40,[   0  165  461  614  756  850  932 1180]
40,50,20,Median,40,[   0  165  237  293  461  614  733  850  932 1180]
40,50,20,Mode,40,[   0  165  245  292  461  614  756  850  932 1180]
40,50,20,Median,40,[   0  165  237  293  461  614  733  850  932 1180]
40,50,20,Mode,40,[   0  165  245  292  461  614  756  850  932 1180]
